a,b,shared_citing_sources
WORK-80AC7412450E,WORK-91F01F668C94,27
WORK-11BA0618FDA2,WORK-97D6A230B76E,17
WORK-0B7C450D6ADC,WORK-97D6A230B76E,16
WORK-0B7C450D6ADC,WORK-9A7C01587782,25
WORK-0B7C450D6ADC,WORK-BC5A9BAE5E66,27
WORK-11BA0618FDA2,WORK-BFCDAD5D6F62,11
WORK-BFCDAD5D6F62,WORK-EECC280B6161,10
WORK-3DD575407739,WORK-C47D0DDF573B,14
WORK-C47D0DDF573B,WORK-EECC280B6161,13
WORK-3DD575407739,WORK-E30494511AE3,18
WORK-11BA0618FDA2,WORK-E30494511AE3,17
WORK-3DD575407739,WORK-E94E5C42842C,18
WORK-5CCEE49C14EE,WORK-E94E5C42842C,14
WORK-3DD575407739,WORK-F59EEE43B144,14
WORK-0B7C450D6ADC,WORK-F59EEE43B144,13
WORK-EECC280B6161,WORK-F9453AB659B3,16
WORK-11BA0618FDA2,WORK-F9453AB659B3,14
