year,bridge_publications,multi_target_publications,bridge_share_multi_target
2020,9,77,0.11688311688311688
2021,21,157,0.1337579617834395
2022,29,212,0.13679245283018868
2023,66,325,0.20307692307692307
2024,89,430,0.2069767441860465
